plec,wynagrodzenie_brutto,rok_rozpoczecia,rok_zakonczenia,suma_wplaconych_skladek,emerytura_nominalna,zadowolony
m,4781,2026,2054,34147,4889.78,False
k,6978,2024,2051,79313,4454.84,False
m,10280,2026,2057,47816,5365.22,False
m,8838,2030,2061,11517,6068.21,False
k,25798,2024,2058,24551,11122.723194052001,True
m,6726,2025,2053,5591,4740.46,False
k,7073,2024,2063,24457,6451.77,False
m,18246,2025,2062,56412,10692.530589093438,True
k,6016,2029,2046,19333,3810.78,False
k,5351,2026,2060,52699,5884.61,False
m,16820,2025,2053,7689,6683.568515020976,False
m,10365,2024,2054,41858,4889.78,False
m,6086,2027,2060,117973,5884.61,False
k,13944,2024,2060,55563,5884.61,False
m,12573,2032,2059,67330,5706.34,False
m,9917,2030,2061,30614,6068.21,False
m,19888,2026,2060,10238,9664.003044101202,True
m,23975,2024,2063,50092,15334.076210679206,True
k,6946,2025,2061,21515,6068.21,False
m,4684,2032,2050,23125,4318.21,False
m,17268,2025,2055,33071,7174.36656096361,True
m,16719,2024,2059,39056,9196.737117786319,True
m,11831,2026,2055,31303,5043.61,False
k,12435,2027,2062,3477,6257.17,False
m,7234,2025,2057,23022,5365.22,False
k,5976,2024,2061,47305,6068.21,False
m,4641,2030,2058,29486,5533.26,False
m,11163,2029,2054,78824,4889.78,False
m,18408,2025,2060,36184,9484.62334890121,True
k,12394,2024,2048,34172,4056.92,False
m,5594,2027,2061,48455,6068.21,False
k,5195,2024,2057,45152,5365.22,False
k,11818,2036,2053,8148,4740.46,False
m,6574,2028,2054,26135,4889.78,False
k,15138,2031,2051,57870,4454.84,False
m,6813,2031,2060,8853,5884.61,False
m,11905,2027,2062,78768,6257.17,False
m,19807,2025,2063,39014,12103.49563463803,True
m,15320,2024,2061,97398,8755.71960368561,True
k,7589,2024,2062,79466,6257.17,False
m,14673,2025,2062,1798,8223.635472828983,True
m,11097,2027,2062,51394,6257.17,False
k,15614,2027,2063,49077,6451.77,False
m,5804,2026,2049,13331,4185.61,False
k,14409,2025,2048,56156,4056.92,False
m,4503,2026,2053,43425,4740.46,False
k,6835,2028,2062,49545,6257.17,False
k,13018,2027,2061,10551,6068.21,False
k,15228,2025,2063,14671,6451.77,False
k,12387,2031,2057,15536,5365.22,False
k,5411,2024,2053,24051,4740.46,False
m,7075,2024,2052,38560,4595.52,False
m,5378,2036,2053,7680,4740.46,False
m,10810,2034,2060,67720,5884.61,False
m,10523,2027,2060,42423,5884.61,False
m,7367,2024,2059,18787,5706.34,False
k,29402,2024,2052,3247,9393.750483010812,True
k,37337,2026,2063,2288,9421.551674201457,True
m,9487,2030,2055,19486,5043.61,False
k,16088,2025,2056,41734,6137.607665566617,False
k,18883,2030,2055,59,5048.340091056671,False
m,6524,2033,2056,2006,5202.08,False
m,15756,2028,2061,6852,7146.076340852585,True
m,7980,2024,2037,45781,2866.93,False
m,6461,2028,2059,1777,5706.34,False
k,11551,2042,2055,46654,5043.61,False
m,7179,2027,2061,28839,6068.21,False
m,5703,2024,2057,6354,5365.22,False
m,17217,2032,2060,64912,5960.891365117888,False
k,4768,2026,2060,85648,5884.61,False
k,9132,2024,2058,5594,5533.26,False
m,29581,2027,2062,97491,15178.953261237148,True
m,14273,2025,2059,2485,7048.860224197122,True
m,6670,2025,2055,18218,5043.61,False
k,11333,2026,2053,17151,4740.46,False
m,19110,2038,2051,106021,4454.84,False
k,16360,2033,2058,102928,5533.26,False
m,7375,2027,2053,4517,4740.46,False
m,10720,2024,2063,35310,6956.292231613225,True
m,30795,2025,2049,6023,9460.79901564315,True
k,19201,2024,2061,26247,6068.21,False
m,4704,2024,2059,24674,5706.34,False
m,18693,2024,2053,4286,7963.580212267103,True
m,13669,2034,2062,11917,6257.17,False
k,16666,2029,2061,8096,6295.326782785256,False
m,13628,2024,2061,44702,8143.912556542704,True
k,4811,2026,2062,29916,6257.17,False
m,22593,2025,2051,14078,7821.579267964836,True
k,23786,2024,2059,16616,6203.66905547617,False
k,13347,2030,2063,26014,6451.77,False
k,7993,2028,2063,3487,6451.77,False
m,13046,2033,2063,9613,6451.77,False
k,6082,2026,2049,34284,4185.61,False
k,8137,2030,2058,27444,5533.26,False
m,4919,2024,2054,16988,4889.78,False
m,11908,2024,2060,4817,6828.115159317348,False
k,26794,2027,2062,1281,11744.20678269267,True
m,19896,2026,2063,31926,10990.766847689754,True
m,25508,2041,2058,11249,5533.26,False
m,11633,2028,2061,36017,6068.21,False
k,11435,2024,2055,19618,5043.61,False
m,16690,2029,2060,29335,6844.738244299509,False
k,12775,2025,2063,47575,6577.0793552973555,False
m,15294,2026,2063,111477,8448.571982738602,True
k,25057,2028,2059,82730,5706.34,False
k,24632,2025,2062,76445,6884.729197896337,True
m,5638,2024,2061,71802,6068.21,False
m,13034,2025,2062,94111,7638.191587100945,True
k,6809,2024,2053,22290,4740.46,False
k,27005,2030,2050,9259,4318.21,False
k,22872,2024,2054,96468,8465.889895499635,True
k,24015,2026,2056,6460,8592.260553924854,True
k,13087,2028,2057,91896,5365.22,False
m,12040,2027,2057,6204,5365.22,False
m,18433,2024,2062,12984,11479.169041573055,True
k,12729,2025,2060,59730,5884.61,False
k,11756,2026,2061,51713,6068.21,False
m,14819,2027,2057,58330,5950.047782363907,False
k,13457,2025,2062,31384,6257.17,False
m,8058,2026,2063,15174,6451.77,False
k,7899,2026,2062,105380,6257.17,False
m,58889,2024,2061,33023,23051.413407162967,True
k,21248,2025,2060,44195,9633.089710106404,True
k,7773,2029,2060,5877,5884.61,False
m,6042,2024,2059,20308,5706.34,False
k,32483,2031,2059,5315,5706.34,False
k,8931,2024,2054,52133,4889.78,False
k,6996,2024,2061,2857,6068.21,False
k,9868,2024,2058,34369,5533.26,False
k,7126,2026,2058,34765,5533.26,False
k,7316,2025,2059,19478,5706.34,False
m,15248,2035,2058,7949,5533.26,False
m,5379,2024,2062,29013,6257.17,False
k,7043,2026,2062,35518,6257.17,False
k,10256,2030,2063,73260,6451.77,False
m,14121,2031,2054,126687,4889.78,False
k,4659,2024,2057,15591,5365.22,False
k,5291,2026,2058,90250,5533.26,False
m,10356,2024,2057,13547,5365.22,False
k,16064,2027,2052,1461,4595.52,False
k,13400,2027,2050,12656,4318.21,False
m,4592,2028,2050,21441,4318.21,False
m,11009,2028,2052,43912,4595.52,False
k,17603,2029,2055,70144,5043.61,False
m,22586,2035,2057,16803,5828.608536059741,False
m,27108,2024,2057,42146,13169.543994473746,True
m,10677,2027,2063,6412,6451.77,False
k,30573,2026,2057,359,6283.427892040486,False
k,13988,2032,2059,27136,5706.34,False
k,5521,2025,2059,60528,5706.34,False
k,13186,2028,2060,9031,5884.61,False
m,15209,2024,2060,13379,8340.55160595128,True
k,12488,2026,2057,31535,5365.22,False
m,22445,2024,2057,28740,10784.669185210989,True
k,6363,2029,2056,11079,5202.08,False
k,21884,2026,2061,9628,9768.960226133853,True
m,22789,2033,2040,2678,3154.78,False
k,15543,2025,2052,35567,4954.386292537478,False
k,5292,2025,2060,469,5884.61,False
k,9918,2024,2045,39654,3693.12,False
m,7867,2024,2056,45639,5202.08,False
m,26818,2025,2059,98594,12938.154324706524,True
m,5204,2029,2056,7365,5202.08,False
k,30901,2027,2059,23353,11581.627758560111,True
k,21769,2029,2044,70804,3578.95,False
m,7075,2024,2059,243,5706.34,False
k,5074,2030,2055,10788,5043.61,False
k,13396,2029,2054,16170,4889.78,False
k,27046,2026,2063,24590,12980.42829190118,True
m,4754,2025,2046,43306,3810.78,False
m,15257,2027,2058,8085,6407.35328206263,False
k,11007,2030,2056,85676,5202.08,False
k,8786,2030,2060,25394,5884.61,False
m,6768,2024,2063,88030,6451.77,False
k,7304,2030,2057,3800,5365.22,False
k,4532,2030,2061,22350,6068.21,False
m,17956,2024,2063,12760,11651.789487952165,True
k,15211,2029,2049,63340,4185.61,False
m,16279,2034,2055,7557,5043.61,False
m,10508,2026,2049,13083,4185.61,False
k,4655,2025,2059,4559,5706.34,False
k,7117,2024,2063,35786,6451.77,False
k,11583,2025,2063,28143,6451.77,False
k,6377,2025,2056,52974,5202.08,False
k,9455,2024,2060,18329,5884.61,False
k,7749,2025,2062,32274,6257.17,False
k,6453,2031,2062,4442,6257.17,False
m,12672,2036,2057,17104,5365.22,False
m,4602,2035,2063,80026,6451.77,False
m,11900,2026,2061,41558,6311.287377760903,False
m,6027,2024,2057,61134,5365.22,False
k,4729,2024,2060,80013,5884.61,False
k,5351,2024,2057,39296,5365.22,False
k,14945,2024,2061,6111,6068.21,False
k,14020,2030,2059,64680,5706.34,False
k,5441,2025,2049,20843,4185.61,False
m,11933,2025,2059,35636,5893.228407156462,False
m,26681,2032,2061,15286,10139.706910823206,True
m,12954,2029,2063,38168,6451.77,False
k,7999,2030,2063,79126,6451.77,False
m,34142,2027,2058,51236,14162.309166460362,True
m,9190,2031,2059,69084,5706.34,False
k,14708,2024,2054,26289,4889.78,False
k,15008,2028,2061,75934,6068.21,False
k,8545,2034,2057,77753,5365.22,False
k,8259,2024,2063,16366,6451.77,False
m,10228,2025,2061,19855,6068.21,False
m,17182,2025,2056,62853,7800.977522593349,True
m,5659,2025,2062,9083,6257.17,False
k,17278,2024,2040,1256,3154.78,False
k,5914,2027,2050,63984,4318.21,False
k,10942,2027,2062,71016,6257.17,False
m,14842,2024,2058,37694,7830.392674232925,True
m,6553,2041,2063,18856,6451.77,False
m,9483,2025,2056,4464,5202.08,False
m,10971,2030,2060,10950,5884.61,False
m,10703,2034,2057,91856,5365.22,False
k,5850,2041,2063,25009,6451.77,False
m,5135,2027,2062,7025,6257.17,False
m,9500,2025,2058,17982,5533.26,False
k,6644,2025,2055,15725,5043.61,False
m,6834,2026,2056,107041,5202.08,False
m,4929,2025,2053,19136,4740.46,False
m,5059,2031,2056,13327,5202.08,False
k,32545,2026,2056,51689,10984.83104397623,True
m,5360,2033,2059,34471,5706.34,False
m,8110,2025,2053,31860,4740.46,False
m,4744,2024,2053,48850,4740.46,False
m,17526,2027,2062,38892,9176.243205377777,True
m,10246,2025,2050,48684,4318.21,False
k,4588,2029,2059,2241,5706.34,False
k,5765,2030,2056,3375,5202.08,False
m,10888,2030,2063,54440,6451.77,False
m,7531,2026,2058,24870,5533.26,False
k,26203,2024,2062,4331,7617.854464741233,True
k,32933,2026,2056,47827,11075.368684444695,True
k,4928,2030,2063,27548,6451.77,False
m,14949,2024,2060,7464,8571.841914396628,True
k,7557,2029,2062,25418,6257.17,False
m,8718,2024,2059,19875,5706.34,False
k,26305,2027,2053,102346,4740.46,False
k,15119,2025,2053,11074,4740.46,False
k,7548,2031,2060,45846,5884.61,False
m,11469,2034,2059,56881,5706.34,False
k,9019,2028,2061,32061,6068.21,False
k,7057,2025,2050,23241,4318.21,False
m,11356,2029,2058,7724,5533.26,False
k,10101,2029,2060,2885,5884.61,False
k,34682,2024,2055,3365,11949.138532475075,True
k,22846,2024,2055,14623,5049.564430922057,False
m,9883,2025,2061,40548,6068.21,False
m,14411,2024,2050,15528,5366.806324948768,False
m,6440,2025,2061,85257,6068.21,False
k,29762,2024,2056,82828,6478.482139426004,False
k,14609,2027,2050,76525,4318.21,False
k,21378,2025,2063,19950,11006.246767714041,True
k,18720,2035,2060,8264,5884.61,False
k,12057,2028,2056,17084,5202.08,False
m,4854,2029,2063,26089,6451.77,False
k,8124,2025,2057,17400,5365.22,False
k,13236,2024,2055,17695,5043.61,False
k,14139,2029,2063,42001,6451.77,False
k,33609,2030,2043,10565,3468.11,False
k,6822,2026,2059,80479,5706.34,False
m,20273,2024,2058,11347,10229.189809929141,True
m,12887,2028,2057,77380,5365.22,False
k,7426,2025,2053,51938,4740.46,False
k,12486,2025,2059,21165,5706.34,False
k,16948,2027,2059,9212,5706.34,False
m,25751,2026,2060,63676,12984.276469341672,True
m,5126,2032,2061,20176,6068.21,False
k,7002,2025,2060,26694,5884.61,False
m,8162,2024,2063,30317,6451.77,False
m,10682,2024,2059,33570,5706.34,False
k,22407,2033,2059,13416,6125.84466309948,False
m,15445,2024,2058,17160,8148.525458396943,True
m,7241,2025,2061,2374,6068.21,False
m,5997,2030,2061,14535,6068.21,False
m,5392,2028,2061,62656,6068.21,False
m,22229,2029,2049,93373,5493.321378816277,False
m,5998,2026,2062,34003,6257.17,False
m,5648,2024,2053,11024,4740.46,False
m,19890,2026,2063,103210,11488.541651145435,True
m,24726,2031,2061,9510,9935.40455336546,True
m,24759,2031,2047,28516,4423.297644050442,False
k,12246,2034,2054,30007,4889.78,False
m,6217,2037,2061,83903,6068.21,False
m,5832,2027,2062,24210,6257.17,False
m,12406,2028,2057,14221,5365.22,False
k,7933,2027,2063,13888,6451.77,False
k,12112,2026,2048,68384,4056.92,False
k,7049,2025,2041,11356,3256.3,False
m,18812,2024,2062,28826,11715.191667665185,True
m,27232,2026,2051,22442,9054.287689795954,True
m,9748,2024,2060,34846,5884.61,False
k,7374,2024,2061,29419,6068.21,False
m,20264,2025,2061,17804,11386.626929905578,True
k,8301,2024,2063,72333,6451.77,False
k,20044,2024,2063,2041,10958.408449493738,True
m,8855,2026,2062,57790,6257.17,False
k,4658,2026,2063,20207,6451.77,False
m,10454,2028,2063,32903,6451.77,False
m,24670,2027,2057,8630,9904.376900813952,True
k,8845,2027,2051,49384,4454.84,False
k,7153,2032,2062,3219,6257.17,False
k,15167,2030,2048,12500,4056.92,False
m,6037,2030,2061,20809,6068.21,False
m,6948,2028,2053,44198,4740.46,False
m,7795,2024,2053,280,4740.46,False
m,10413,2026,2034,6942,2602.77,False
m,9214,2030,2063,30738,6451.77,False
k,12889,2031,2059,21388,5706.34,False
m,4722,2024,2060,8580,5884.61,False
k,15186,2031,2059,20448,5706.34,False
m,16975,2026,2062,38026,8986.360737441253,True
k,11390,2026,2061,871,6068.21,False
k,7284,2024,2061,126013,6068.21,False
m,11733,2025,2058,27302,5552.4630869367575,False
k,5674,2030,2053,63794,4740.46,False
m,16712,2045,2058,25546,5533.26,False
k,13488,2024,2055,93822,5043.61,False
m,33410,2027,2063,22619,16673.90326272389,True
m,14610,2033,2059,6655,5706.34,False
m,7781,2025,2058,29339,5533.26,False
m,8170,2025,2037,29344,2866.93,False
m,14082,2034,2059,34001,5706.34,False
k,15159,2029,2058,89418,5533.26,False
k,17994,2025,2051,105291,4454.84,False
m,25895,2025,2063,242,14894.29397193019,True
k,28458,2027,2054,17240,4915.185336554059,False
k,6616,2025,2062,8606,6257.17,False
m,5246,2024,2056,7836,5202.08,False
k,23760,2024,2062,5286,7026.635914290996,True
k,26540,2026,2062,11175,12230.99434006601,True
m,11466,2031,2053,8601,4740.46,False
k,5601,2027,2054,11212,4889.78,False
m,11644,2029,2062,23245,6257.17,False
k,18929,2025,2055,11654,6908.25642716987,True
m,7467,2024,2059,13991,5706.34,False
k,7503,2027,2059,6427,5706.34,False
k,6829,2026,2055,42311,5043.61,False
m,23373,2027,2051,16,7072.327961471366,True
k,6425,2032,2040,41115,3154.78,False
k,10670,2033,2058,82402,5533.26,False
k,8505,2034,2061,24032,6068.21,False
m,20185,2024,2056,31082,9363.757759955091,True
k,12847,2024,2063,59829,7023.681568082515,True
m,7294,2033,2062,87884,6257.17,False
k,4558,2027,2053,33673,4740.46,False
k,20887,2029,2051,28365,4454.84,False
m,19500,2026,2063,80297,11263.276128573958,True
k,5491,2028,2056,81153,5202.08,False
m,14696,2026,2061,14560,7454.220589683823,True
k,12865,2025,2053,65554,4740.46,False
m,27078,2024,2057,71913,12584.4357178845,True
m,8566,2025,2056,27319,5202.08,False
m,24527,2026,2061,13664,12971.906889745947,True
m,6245,2028,2055,31852,5043.61,False
k,6717,2025,2063,49311,6451.77,False
m,7486,2028,2060,104985,5884.61,False
m,4746,2036,2058,30980,5533.26,False
m,12516,2024,2062,52735,7454.389571735707,True
m,7730,2036,2061,9834,6068.21,False
k,5619,2024,2056,5988,5202.08,False
m,10354,2029,2058,89306,5533.26,False
k,6847,2028,2063,7816,6451.77,False
k,17876,2035,2056,7293,5202.08,False
m,6904,2024,2059,6270,5706.34,False
k,36375,2027,2063,47440,15602.792522034113,True
k,15040,2028,2058,28233,5533.26,False
k,5790,2024,2039,28517,3056.07,False
m,4767,2024,2063,11438,6451.77,False
m,14887,2025,2051,53011,5399.578044699575,False
m,14919,2028,2062,11963,7395.900394303812,True
m,5768,2027,2057,14245,5365.22,False
k,18177,2024,2058,43703,8064.422776729564,True
k,10486,2026,2061,85329,6068.21,False
k,17651,2024,2040,12897,3157.4201465281512,False
k,13478,2024,2061,10232,6779.178509891483,False
k,18841,2024,2055,79412,7354.213917548405,True
m,10788,2029,2059,31987,5706.34,False
m,56474,2025,2063,33664,24128.3753856556,True
m,14279,2026,2061,98909,7573.01449302924,True
k,10376,2028,2061,14797,6068.21,False
m,10912,2024,2060,24337,6257.003075115127,False
k,24054,2039,2062,63844,6257.17,False
k,21620,2028,2056,68502,6862.34336663359,True
k,5249,2031,2051,76457,4454.84,False
m,30023,2025,2061,60786,15373.260345484903,True
m,6560,2025,2059,32530,5706.34,False
k,9094,2028,2053,1957,4740.46,False
k,24716,2029,2061,13769,6068.21,False
m,10715,2024,2049,38204,4185.61,False
m,15531,2024,2056,69479,7533.360196967986,True
m,8616,2029,2059,41524,5706.34,False
m,10018,2024,2052,9803,4595.52,False
k,22471,2025,2054,6360,7829.4771129668125,True
k,19374,2030,2055,9155,5179.608162057509,False
k,11461,2026,2058,54965,5533.26,False
m,21461,2026,2058,62026,9561.21488667708,True
m,7846,2031,2062,48011,6257.17,False
k,6297,2024,2052,849,4595.52,False
k,19048,2024,2055,8598,7435.0122977263445,True
k,14726,2029,2043,42582,3468.11,False
k,35535,2024,2059,2763,14488.951684661854,True
m,11949,2024,2054,11735,5085.925882892244,False
k,12151,2025,2063,8119,6451.77,False
m,6049,2024,2057,82761,5365.22,False
k,13547,2026,2051,68386,4454.84,False
m,5523,2025,2061,16873,6068.21,False
k,14555,2033,2060,21680,5884.61,False
k,10575,2028,2058,8239,5533.26,False
m,6660,2026,2061,3891,6068.21,False
k,5298,2027,2053,66692,4740.46,False
m,11496,2027,2061,16028,6068.21,False
k,4908,2026,2062,56033,6257.17,False
m,11366,2025,2056,7408,5202.08,False
k,10066,2025,2062,54457,6257.17,False
m,7920,2024,2061,17559,6068.21,False
k,8774,2025,2053,19430,4740.46,False
k,8168,2029,2063,103431,6451.77,False
m,14151,2034,2063,43727,6451.77,False
k,21185,2024,2063,2798,6605.685378020007,False
k,19356,2032,2056,135,5202.08,False
m,8121,2031,2045,2220,3693.12,False
k,9021,2026,2059,43943,5706.34,False
m,16202,2027,2054,434,5665.313550268056,False
m,24258,2024,2063,67577,14813.239895133225,True
m,10229,2026,2056,16850,5202.08,False
m,13823,2029,2054,19828,4889.78,False
m,16406,2024,2058,21333,8278.009570448256,True
m,4827,2027,2059,7846,5706.34,False
k,8864,2025,2060,49168,5884.61,False
m,21716,2025,2059,47707,10724.658349937961,True
k,9402,2027,2051,3566,4454.84,False
k,6801,2025,2062,70940,6257.17,False
k,14017,2031,2063,399,6451.77,False
k,29302,2027,2063,38328,7574.667794928584,True
k,16043,2028,2063,42459,6451.77,False
k,18890,2029,2049,35368,4185.61,False
m,18338,2024,2061,9702,10480.573504724978,True
k,10244,2024,2053,64426,4740.46,False
k,11648,2025,2061,25067,6068.21,False
k,28111,2026,2048,9585,6664.043888764412,False
k,6377,2024,2063,3495,6451.77,False
k,11994,2024,2059,525,5706.34,False
m,17027,2025,2063,80633,10404.716522996,True
m,7835,2025,2054,23093,4889.78,False
m,13140,2031,2062,17718,6257.17,False
k,4660,2025,2058,66367,5533.26,False
m,9894,2026,2061,8437,6068.21,False
k,5356,2026,2060,52129,5884.61,False
k,4743,2027,2052,41478,4595.52,False
k,10843,2026,2060,101298,5884.61,False
m,9968,2029,2062,431,6257.17,False
m,10356,2024,2061,54174,6188.608631901686,False
m,6313,2026,2041,17698,3256.3,False
k,6047,2029,2055,10743,5043.61,False
m,13950,2025,2056,8545,6333.583776055009,False
m,40276,2025,2050,33750,11573.73983787641,True
m,19486,2025,2058,2616,9221.45194852551,True
m,7247,2025,2056,27295,5202.08,False
m,14683,2025,2061,8642,7890.723338017133,True
k,4838,2039,2058,11703,5533.26,False
m,22332,2029,2053,68158,6843.956017556189,False
k,24958,2025,2057,20538,5618.329881471934,False
m,5093,2031,2063,13049,6451.77,False
m,12251,2027,2063,40007,6451.77,False
k,8098,2028,2062,87734,6257.17,False
k,7472,2031,2057,10739,5365.22,False
m,20618,2033,2054,15900,4899.622017226996,False
m,14104,2025,2060,17228,7267.010414651388,True
k,21629,2027,2057,74578,5365.22,False
k,21023,2038,2058,67338,5533.26,False
m,17333,2026,2062,8495,9175.881629576978,True
k,11114,2024,2042,22652,3360.7,False
m,9670,2025,2054,25326,4889.78,False
m,12011,2027,2060,83549,5884.61,False
m,6746,2027,2043,7011,3468.11,False
k,13027,2025,2062,34475,6428.706899698055,False
k,18024,2025,2048,675,4726.850577563348,False
m,18254,2025,2049,19399,5746.477791367709,False
k,5626,2025,2063,62381,6451.77,False
m,43147,2026,2055,1432,14754.59718621932,True
m,17594,2026,2057,15356,7501.664062049509,True
m,14483,2031,2061,51524,6068.21,False
m,6571,2024,2058,37674,5533.26,False
m,5212,2034,2063,50018,6451.77,False
m,8407,2025,2062,55203,6257.17,False
k,5076,2028,2044,49912,3578.95,False
k,5037,2024,2045,38656,3693.12,False
m,6846,2025,2058,28627,5533.26,False
k,14061,2025,2062,36486,6938.9765653377135,True
k,12184,2025,2062,27337,6257.17,False
k,4555,2029,2051,73758,4454.84,False
m,4907,2031,2058,19210,5533.26,False
k,19766,2025,2061,24347,6068.21,False
m,13887,2025,2041,55487,3256.3,False
m,11200,2026,2062,35192,6257.17,False
k,19581,2024,2053,116940,7004.636611330706,True
m,5947,2024,2052,32945,4595.52,False
m,20147,2025,2063,8080,12311.259986421594,True
m,8328,2024,2055,13055,5043.61,False
m,6107,2026,2059,77307,5706.34,False
m,13619,2024,2062,2970,8111.324031437242,True
k,7678,2027,2062,45536,6257.17,False
m,13518,2026,2058,79337,6022.4827751782705,False
m,24419,2033,2063,28248,9672.288998202594,True
m,14921,2029,2061,39829,6696.289029549674,False
m,17092,2025,2058,17179,8088.528004936764,True
m,27417,2032,2062,1266,10932.484799524727,True
k,4855,2030,2054,13033,4889.78,False
k,20930,2036,2061,10077,6068.21,False
k,20822,2027,2063,5983,6451.77,False
m,7739,2027,2060,16083,5884.61,False
k,7152,2026,2050,33107,4318.21,False
k,22678,2025,2055,23014,5043.61,False
k,13337,2025,2057,16175,5365.22,False
k,9313,2033,2062,14028,6257.17,False
m,19479,2024,2054,65376,8669.080196003077,True
k,11428,2029,2063,137946,6451.77,False
m,16135,2024,2046,21186,4713.773405893268,False
k,19530,2033,2058,36885,5533.26,False
m,5150,2026,2063,29940,6451.77,False
k,4859,2029,2063,894,6451.77,False
m,11711,2030,2050,25557,4318.21,False
m,10459,2026,2058,15494,5533.26,False
k,11858,2027,2055,41071,5043.61,False
k,8149,2030,2058,27012,5533.26,False
k,34899,2030,2062,111406,12776.975822901362,True
k,47224,2026,2062,3979,10327.816817952764,True
k,8614,2027,2063,9444,6451.77,False
m,10715,2024,2059,33496,5894.074897845595,False
k,9686,2024,2056,79413,5202.08,False
k,7932,2026,2060,11215,5884.61,False
m,12088,2026,2056,7931,5202.08,False
m,49456,2035,2060,11636,13605.035470527027,True
k,23199,2037,2060,11751,5884.61,False
m,4559,2024,2059,10292,5706.34,False
k,20758,2027,2048,30191,4698.448077532492,False
m,15784,2027,2050,90188,4539.305854562108,False
k,9037,2025,2051,22909,4454.84,False
m,16090,2026,2050,6735,4960.5628620201005,False
m,5063,2024,2063,42660,6451.77,False
m,13507,2031,2063,5394,6451.77,False
k,11183,2030,2059,15173,5706.34,False
m,7986,2024,2060,12959,5884.61,False
k,7322,2025,2048,29479,4056.92,False
k,15811,2025,2059,350,6869.287766527721,True
k,5492,2026,2063,17855,6451.77,False
m,17433,2024,2061,4119,9963.345943280108,True
m,20282,2029,2063,36716,9525.642806134752,True
k,21861,2028,2061,5715,6068.21,False
m,7048,2026,2056,4638,5202.08,False
m,15256,2027,2058,5858,6699.125306488982,False
k,15914,2027,2052,140089,4595.52,False
m,15436,2030,2054,4960,4889.78,False
k,14382,2024,2053,9969,4740.46,False
