plec,wynagrodzenie_brutto,rok_rozpoczecia,rok_zakonczenia,suma_wplaconych_skladek,emerytura_nominalna
k,12044,2025,2062,51264,6257.17
k,13160,2027,2056,25961,5202.08
m,4534,2024,2048,28213,4056.92
k,6930,2028,2053,7695,4740.46
k,6107,2025,2051,18439,4454.84
k,11905,2025,2059,9646,5706.34
m,10411,2028,2062,56796,6257.17
m,9826,2025,2061,40,6068.21
k,9102,2028,2057,17374,5365.22
m,4657,2024,2046,46689,3810.78
m,24791,2028,2061,56404,11756.650880315256
m,35737,2031,2055,54474,10458.285500239752
m,9085,2030,2056,44788,5202.08
m,7550,2025,2041,78332,3256.3
m,5012,2029,2048,7783,4056.92
k,11636,2033,2057,8798,5365.22
m,8500,2024,2055,55799,5043.61
m,5036,2025,2038,29670,2960.16
m,9195,2024,2058,37262,5533.26
k,23301,2031,2050,12687,4428.388833522685
k,12679,2025,2050,84712,4318.21
k,19432,2026,2056,50977,6965.147368971546
k,9613,2030,2056,15430,5202.08
m,8422,2026,2056,5700,5202.08
m,6805,2024,2059,71145,5706.34
k,9489,2025,2059,45959,5706.34
k,15850,2028,2059,15460,5781.771130854512
m,11371,2032,2058,165,5533.26
k,14755,2027,2060,10214,5957.717953013962
k,5841,2025,2061,47224,6068.21
k,20841,2024,2059,8576,9634.495742611822
k,17606,2028,2062,29200,7349.849035577405
k,11295,2024,2060,7128,5884.61
m,11920,2025,2053,40612,4740.46
m,12262,2028,2047,8922,3932.04
k,9452,2026,2059,3595,5706.34
k,16378,2025,2059,27237,7115.628046308957
k,9584,2026,2063,9948,6451.77
m,15401,2026,2061,2206,8168.078731503839
m,8057,2030,2050,33155,4318.21
k,15784,2030,2052,36610,4595.52
k,29751,2026,2060,44260,12307.282015551476
k,9828,2024,2055,4681,5043.61
m,7064,2027,2049,13498,4185.61
m,7524,2024,2061,54742,6068.21
m,7221,2025,2056,4954,5202.08
m,10512,2034,2057,32135,5365.22
m,8212,2025,2058,22624,5533.26
m,11312,2024,2062,16892,7044.559225208838
k,17316,2027,2061,43209,7305.846550835775
m,11468,2025,2053,74115,4740.46
k,12509,2028,2061,49885,6068.21
m,24074,2025,2059,44791,12345.325421361218
k,10847,2025,2055,80258,5043.61
k,17675,2027,2059,105291,6827.3106597366
k,9045,2029,2060,16790,5884.61
k,5256,2031,2062,53877,6257.17
k,15893,2025,2051,39226,4836.141663666157
k,33252,2036,2055,9309,5987.195965003612
m,7046,2024,2053,11274,4740.46
m,21802,2036,2061,18913,6583.448812984458
m,19240,2031,2057,9464,6367.54918323171
k,28427,2026,2059,74075,11365.60564109132
m,10721,2034,2059,50958,5706.34
m,7458,2030,2055,1836,5043.61
k,4508,2031,2060,29464,5884.61
k,5710,2025,2054,5698,4889.78
m,14768,2025,2058,43976,7307.455682775297
k,16647,2025,2050,38496,4827.300934192526
m,5462,2026,2052,14779,4595.52
k,10654,2028,2061,19434,6068.21
k,4841,2024,2062,57709,6257.17
m,21452,2026,2058,38029,9993.067245868499
k,22174,2036,2062,36597,6257.17
m,10778,2032,2059,1137,5706.34
k,9248,2024,2057,5051,5365.22
m,22545,2025,2058,1972,11137.448098721086
k,18476,2030,2054,44146,4889.78
k,5926,2025,2061,25212,6068.21
k,6580,2024,2055,10932,5043.61
k,16352,2024,2057,631,6955.127802288994
k,30665,2030,2047,39311,5172.079438550274
m,8234,2027,2055,6944,5043.61
k,6869,2026,2062,21973,6257.17
k,28932,2024,2054,61752,10171.25816161534
k,13324,2024,2056,37103,5430.573444150341
k,6696,2025,2061,4601,6068.21
m,8573,2025,2053,36454,4740.46
m,12767,2025,2058,51564,6317.327106039552
m,10608,2024,2054,53673,4889.78
m,10525,2024,2053,46415,4740.46
k,5338,2029,2057,25548,5365.22
m,25578,2037,2063,17257,8101.873518547005
k,5287,2026,2052,9784,4595.52
k,11385,2028,2061,98075,6068.21
k,12450,2024,2050,60947,4318.21
k,23917,2026,2046,39769,5204.981598382583
m,5577,2033,2063,12400,6451.77
m,21420,2025,2058,1700,10598.977568055709
k,18185,2031,2059,29701,5706.34
k,16106,2026,2045,117718,3693.12
k,5896,2026,2050,1395,4318.21
m,48853,2025,2059,67460,19650.88422229714
k,22233,2025,2061,40747,10506.83649904198
k,11616,2024,2057,15722,5365.22
k,11662,2026,2062,23864,6257.17
k,14358,2029,2056,1623,5202.08
k,16605,2036,2063,3519,6451.77
k,8065,2026,2053,2331,4740.46
k,5176,2025,2063,14545,6451.77
k,10235,2029,2063,16651,6451.77
m,7719,2025,2057,55990,5365.22
k,5856,2025,2058,44820,5533.26
k,9430,2024,2058,23620,5533.26
m,37293,2029,2059,15502,14483.627905042445
k,7453,2024,2063,19182,6451.77
m,5381,2025,2051,72169,4454.84
m,17384,2028,2063,59469,9006.129591397992
k,7291,2025,2062,17977,6257.17
m,8834,2025,2055,95651,5043.61
m,16820,2028,2063,1390,8713.938088317658
k,8345,2024,2062,14858,6257.17
m,16724,2025,2058,67495,8275.317499914276
k,15555,2028,2060,17269,5936.804349370771
m,5796,2024,2063,36473,6451.77
k,4695,2026,2060,25764,5884.61
k,24571,2025,2052,59760,7752.376029782367
k,10744,2025,2058,9017,5533.26
m,18846,2029,2063,56475,9254.875861673261
k,6330,2032,2054,83532,4889.78
k,12964,2024,2060,16194,6255.574491854858
k,17782,2026,2058,6990,6965.8095077162825
m,12568,2026,2053,20322,4740.46
m,5394,2025,2053,37018,4740.46
m,8434,2026,2060,22959,5884.61
k,24808,2029,2052,21108,6062.634571075759
m,6341,2034,2060,93396,5884.61
k,4901,2032,2052,21893,4595.52
m,7521,2025,2062,1784,6257.17
k,11363,2036,2061,50977,6068.21
m,9617,2026,2061,14363,6068.21
m,39550,2025,2052,33488,12701.27406637886
m,32232,2029,2060,5639,13577.208467550587
m,16715,2033,2063,23143,6620.758860107141
k,13700,2024,2058,25233,6078.1532728830425
k,5866,2025,2056,69923,5202.08
k,4594,2024,2059,82599,5706.34
m,28165,2025,2061,28885,15314.541261534663
m,22081,2025,2056,26543,10020.724188651753
k,11177,2024,2063,40653,6451.77
k,25298,2032,2063,22705,8912.73276989722
k,7643,2024,2061,1622,6068.21
k,34212,2025,2049,46698,8457.440543867673
m,4928,2025,2055,24694,5043.61
k,7278,2029,2056,122,5202.08
m,5552,2025,2060,7843,5884.61
k,14984,2024,2058,367,6647.813769407261
m,18098,2035,2057,10197,5365.22
k,4554,2029,2056,40004,5202.08
k,17066,2026,2061,27306,7618.2176576128795
k,17659,2029,2061,97818,6670.417356126542
m,31898,2037,2060,6968,8583.86617609555
m,4749,2026,2063,43976,6451.77
m,9072,2026,2062,37319,6257.17
m,7819,2027,2056,12681,5202.08
m,8759,2025,2061,35044,6068.21
k,9999,2032,2062,35555,6257.17
m,15418,2027,2063,85833,8429.791879205333
m,13658,2033,2057,91663,5365.22
k,7292,2025,2059,74276,5706.34
k,4713,2025,2062,55491,6257.17
k,4962,2026,2048,8737,4056.92
m,15026,2028,2061,33960,7125.789041491547
m,15954,2026,2057,21364,7112.63477863541
k,5563,2028,2047,23142,3932.04
m,13244,2024,2062,3543,8247.714142385594
m,32820,2039,2060,56005,7780.060331410192
m,10493,2029,2053,55252,4740.46
m,8017,2024,2061,16263,6068.21
m,18602,2027,2056,12348,7464.327912636289
k,37453,2027,2049,76867,8045.430083070817
m,6362,2024,2039,76031,3056.07
k,8438,2030,2055,11589,5043.61
m,7314,2031,2060,8228,5884.61
m,9616,2027,2054,56876,4889.78
k,8363,2027,2052,4682,4595.52
m,38955,2032,2051,32339,8426.09775791044
m,22249,2025,2055,86256,9656.534686838786
k,4944,2024,2061,52521,6068.21
m,4516,2040,2060,7341,5884.61
m,9110,2027,2063,43352,6451.77
m,10291,2029,2058,7318,5533.26
m,19488,2025,2055,114946,8465.969324224649
m,4727,2024,2063,46572,6451.77
k,5785,2024,2052,8992,4595.52
k,5559,2028,2057,60931,5365.22
m,17607,2024,2063,60449,11425.320645710273
m,10702,2026,2062,80927,6257.17
m,12707,2028,2054,78889,4889.78
m,7327,2036,2052,30142,4595.52
m,24564,2029,2063,104993,12062.865895476069
m,14991,2024,2060,41445,8595.924954091903
m,6304,2024,2058,52880,5533.26
m,6925,2024,2060,81947,5884.61
k,28810,2024,2061,50521,13733.486889034202
k,6780,2024,2048,5882,4056.92
k,15629,2026,2063,13690,7605.738122205773
k,4971,2026,2060,23844,5884.61
m,9982,2025,2056,16799,5202.08
m,4712,2024,2060,69990,5884.61
k,9183,2033,2054,30304,4889.78
k,23182,2024,2058,56752,10178.956136517349
m,9926,2034,2059,27780,5706.34
m,12367,2027,2052,43908,4595.52
k,6013,2025,2044,14190,3578.95
m,8169,2029,2050,42003,4318.21
m,10830,2028,2056,9057,5202.08
m,10071,2030,2060,6941,5884.61
k,9339,2028,2062,32073,6257.17
k,22644,2026,2062,2950,10555.079057425852
m,4758,2025,2063,64660,6451.77
m,5934,2027,2058,28854,5533.26
m,19782,2027,2059,60605,9081.96028781977
k,4979,2024,2056,11562,5202.08
k,5670,2025,2060,4420,5884.61
k,8399,2033,2062,28331,6257.17
m,8276,2026,2058,3510,5533.26
m,6432,2024,2060,33243,5884.61
m,24764,2024,2063,38450,15761.533539321112
m,14331,2026,2060,17940,7281.323723140959
m,5734,2030,2057,18128,5365.22
k,6394,2031,2052,9910,4595.52
m,8907,2028,2060,34970,5884.61
m,56209,2024,2059,12611,21548.434422550803
k,8214,2027,2050,29747,4318.21
k,6852,2025,2063,20283,6451.77
m,8265,2026,2053,13008,4740.46
k,13478,2027,2048,34429,4056.92
k,11354,2027,2058,55991,5533.26
m,4932,2027,2060,53568,5884.61
m,6310,2027,2059,24426,5706.34
m,4989,2024,2054,63489,4889.78
k,15280,2029,2062,52659,6257.17
m,9306,2030,2054,43771,4889.78
k,6842,2026,2063,24947,6451.77
k,13976,2030,2063,6218,6451.77
k,13418,2026,2049,11940,4185.61
m,14209,2025,2061,20806,7984.237171685168
k,14056,2034,2063,31545,6451.77
m,7933,2029,2063,62728,6451.77
k,4915,2039,2057,21571,5365.22
m,20247,2027,2063,12043,11070.047747974471
m,4610,2032,2062,5937,6257.17
m,10224,2025,2050,78875,4318.21
m,12067,2029,2062,8773,6257.17
k,5636,2025,2058,2435,5533.26
m,20166,2025,2063,57992,12322.870347256558
m,14734,2029,2054,33124,4889.78
k,6676,2024,2063,29354,6451.77
m,7441,2028,2063,17394,6451.77
k,6272,2032,2060,2298,5884.61
m,4501,2029,2058,48172,5533.26
m,5674,2025,2061,55880,6068.21
k,14873,2027,2060,8833,6005.363545589742
k,31828,2024,2054,12513,10835.889513256001
k,4893,2025,2063,142020,6451.77
m,20547,2026,2059,6238,9997.731107684009
m,8511,2036,2054,30976,4889.78
k,13180,2025,2062,63375,6504.211018501605
k,9450,2028,2062,51204,6257.17
k,4733,2028,2062,46935,6257.17
m,12747,2033,2063,39420,6451.77
m,27784,2027,2054,44577,10039.984560661354
k,17137,2025,2061,63705,8105.043546996858
m,9675,2024,2057,11181,5365.22
k,6138,2025,2056,5736,5202.08
m,6626,2027,2058,22483,5533.26
m,13480,2024,2058,12862,7111.824097066416
k,7148,2026,2057,29972,5365.22
m,10733,2030,2062,125977,6257.17
m,22430,2025,2062,62078,13127.776615855928
m,5484,2026,2057,34157,5365.22
m,6897,2030,2055,68346,5043.61
k,13798,2029,2059,12258,5706.34
m,43767,2025,2054,23528,14716.66975703863
k,7623,2028,2057,25741,5365.22
k,10062,2026,2061,78436,6068.21
m,8770,2028,2053,38183,4740.46
m,7222,2024,2060,5235,5884.61
k,6790,2027,2059,4975,5706.34
k,19650,2033,2053,20014,4740.46
m,11128,2025,2063,78376,6800.005019551271
m,10764,2034,2060,17158,5884.61
m,5039,2029,2059,28926,5706.34
m,10796,2024,2061,13456,6451.546812476882
m,19126,2024,2059,32068,10520.772421483403
m,19701,2025,2059,26803,10173.251969332874
m,29689,2034,2062,10447,10594.059780460899
m,10968,2029,2050,48202,4318.21
m,17371,2026,2056,44122,7409.960178113021
m,11063,2024,2058,10836,5836.655043460364
k,18697,2025,2049,20660,5160.632114452853
m,21440,2025,2061,14786,12047.437888727562
m,8678,2025,2061,15797,6068.21
m,11809,2031,2063,19504,6451.77
m,16615,2035,2062,47058,6257.17
k,32727,2026,2057,76590,11544.183511477984
m,7607,2025,2061,56168,6068.21
m,9999,2025,2056,13728,5202.08
k,21782,2028,2063,70831,9507.499012261218
m,4892,2030,2061,7662,6068.21
k,13141,2030,2058,66038,5533.26
k,4786,2027,2051,59885,4454.84
m,6744,2024,2060,468,5884.61
k,16035,2026,2054,36884,5245.292453061482
m,17462,2024,2060,10600,10012.810456163894
m,5145,2027,2059,46783,5706.34
m,4845,2024,2062,55572,6257.17
k,40438,2025,2062,46963,17172.65913929653
m,10461,2033,2060,5153,5884.61
k,6586,2032,2058,39250,5533.26
k,35989,2024,2062,48601,16628.957051982863
m,6188,2024,2055,52149,5043.61
k,25153,2026,2061,9835,11170.432682727236
m,16359,2024,2055,26643,7600.771947966183
m,6449,2024,2053,11837,4740.46
k,4573,2030,2059,91853,5706.34
m,24076,2024,2058,47169,12499.618906324618
k,8602,2026,2062,10477,6257.17
m,21615,2031,2049,88283,4605.523565495422
m,8058,2029,2062,49097,6257.17
m,10048,2025,2057,40093,5365.22
m,11603,2030,2052,37788,4595.52
m,9235,2031,2057,67757,5365.22
m,8605,2028,2061,7707,6068.21
k,22773,2026,2048,108150,5546.785458476611
k,7650,2025,2055,48050,5043.61
m,7460,2025,2051,9317,4454.84
m,51935,2031,2058,9278,15570.948192721029
k,34988,2026,2058,25354,12639.200697489781
k,6344,2026,2056,35963,5202.08
m,11075,2027,2061,37490,6068.21
m,26087,2028,2058,45314,10803.96780959545
m,6913,2025,2059,77101,5706.34
k,11228,2028,2061,9678,6068.21
k,5809,2033,2060,12936,5884.61
k,5639,2026,2059,4480,5706.34
k,10324,2028,2059,25494,5706.34
k,30782,2025,2058,103796,12090.589400992361
m,11801,2026,2049,46304,4185.61
m,15376,2028,2062,16826,7622.45220610063
k,20888,2028,2063,70067,9117.282130571679
m,14887,2031,2055,108554,5043.61
k,12231,2028,2058,38791,5533.26
m,20734,2026,2055,29181,8453.318167697207
k,10978,2024,2061,53233,6068.21
k,12826,2025,2055,59318,5043.61
k,5003,2025,2057,96433,5365.22
k,4908,2035,2058,45129,5533.26
k,15821,2030,2053,60449,4740.46
k,5489,2035,2062,65339,6257.17
k,17696,2025,2062,23052,8732.816250637663
m,9686,2024,2046,38728,3810.78
k,33461,2030,2048,19769,5929.1552411205585
m,16920,2024,2060,10176,9702.024562953438
k,6470,2030,2061,39444,6068.21
k,11483,2027,2057,29266,5365.22
k,30609,2026,2061,27038,13138.719080184188
m,17819,2024,2057,16382,9014.576649459243
m,11890,2024,2061,27855,7105.306743270676
m,5122,2027,2063,2693,6451.77
k,33127,2024,2063,40570,16470.147719598895
m,14093,2027,2055,6298,5398.653014816097
m,6004,2030,2050,61717,4318.21
k,10730,2028,2061,20136,6068.21
k,5201,2024,2061,10235,6068.21
k,16321,2026,2057,12020,6117.583619579104
k,13272,2027,2056,54385,5202.08
k,10040,2029,2058,619,5533.26
m,4516,2025,2051,812,4454.84
k,5990,2025,2052,54046,4595.52
m,5066,2024,2063,71976,6451.77
m,23041,2028,2060,34312,10450.038214977742
k,7507,2026,2056,26840,5202.08
k,6567,2024,2048,9913,4056.92
m,5237,2026,2060,34372,5884.61
m,7487,2026,2062,23656,6257.17
m,6903,2030,2060,45237,5884.61
m,12446,2036,2059,24629,5706.34
m,10483,2024,2056,52058,5202.08
k,5473,2026,2053,37256,4740.46
m,14218,2030,2050,122707,4318.21
m,5150,2030,2061,3877,6068.21
k,22977,2024,2055,20484,8880.820031160036
m,19304,2025,2060,31415,10399.888649292172
k,7177,2032,2060,65103,5884.61
k,7079,2025,2053,13668,4740.46
m,5544,2032,2054,91392,4889.78
m,6243,2028,2057,72182,5365.22
k,6441,2033,2062,39680,6257.17
k,7495,2024,2063,34886,6451.77
m,25463,2029,2053,12538,7803.495077692695
m,12439,2027,2063,6706,6801.023555936905
k,7562,2025,2061,6634,6068.21
k,11585,2030,2052,9502,4595.52
m,11081,2029,2062,22076,6257.17
m,5470,2033,2061,45207,6068.21
m,24693,2030,2052,8832,6724.840249227574
m,15300,2029,2059,52055,6265.731804692346
k,12105,2035,2063,2364,6451.77
m,4597,2031,2062,5208,6257.17
k,11386,2030,2063,4631,6451.77
m,14827,2026,2060,32559,7533.332415254413
k,12589,2025,2048,22134,4056.92
m,9618,2026,2059,1238,5706.34
m,12477,2025,2057,2365,5914.33141093228
k,8991,2024,2063,49836,6451.77
m,16979,2035,2060,69354,5884.61
m,5074,2026,2062,2385,6257.17
k,6407,2030,2063,8465,6451.77
k,8780,2029,2061,38652,6068.21
m,9334,2026,2062,4395,6257.17
k,14472,2024,2061,43578,7279.141667543371
k,7225,2030,2061,57185,6068.21
k,14960,2026,2062,138388,6973.325503404473
m,8177,2025,2058,43663,5533.26
m,6769,2027,2053,3776,4740.46
k,12019,2027,2047,118235,3932.04
k,14015,2025,2060,1915,6353.904004477654
k,13416,2024,2057,35727,5706.335285928887
m,19489,2025,2054,94930,8100.172668366101
k,12953,2025,2062,20332,6392.188567727713
k,18497,2024,2062,19031,9700.231667437498
k,13330,2033,2057,109366,5365.22
m,5744,2036,2061,91024,6068.21
m,10283,2024,2063,55113,6672.719497917806
m,7666,2026,2057,171049,5365.22
m,5258,2025,2061,21022,6068.21
m,18833,2024,2055,4384,8750.249898896465
k,5421,2027,2061,39825,6068.21
k,17802,2027,2055,16775,5729.043487799152
k,16933,2031,2049,17837,4185.61
k,9525,2024,2058,2191,5533.26
m,19999,2025,2060,81440,10774.314810256641
k,17504,2024,2059,5589,8101.055748385783
k,15181,2033,2061,7353,6068.21
k,4547,2031,2061,111088,6068.21
m,12848,2024,2061,25065,7677.794872795759
m,44971,2024,2061,822,21403.203070482003
k,17110,2027,2060,19958,6908.610923488239
k,4545,2027,2062,85728,6257.17
m,7872,2027,2056,3570,5202.08
m,19184,2029,2061,65392,8609.450354726965
m,6801,2025,2061,20183,6068.21
k,20390,2026,2054,89280,6669.879209100316
m,4822,2029,2060,20118,5884.61
k,5529,2027,2051,2972,4454.84
m,15573,2025,2061,57354,8750.687977665788
m,10943,2024,2063,1201,7100.998683819362
k,8407,2025,2060,45967,5884.61
m,5856,2026,2058,26981,5533.26
k,14312,2027,2060,9105,5884.61
m,13957,2026,2059,74466,6791.177936922462
k,22648,2024,2062,4268,11789.25665254356
m,7784,2025,2057,3695,5365.22
m,12614,2041,2059,4237,5706.34
k,5930,2030,2057,5860,5365.22
k,8490,2024,2062,31767,6257.17
m,11110,2024,2062,21822,6918.763524758676
k,7186,2025,2044,11972,3578.95
k,7580,2025,2062,13258,6257.17
m,19380,2025,2059,6131,10007.493181344651
k,16731,2024,2060,44763,8073.281149585288
m,12934,2024,2057,43908,6543.270350979621
k,9717,2030,2046,36769,3810.78
k,9061,2025,2060,92541,5884.61
k,29036,2025,2048,7697,7237.031693956302
k,17033,2025,2055,30086,6216.299420148152
k,4716,2024,2063,36211,6451.77
m,6592,2027,2061,48434,6068.21
m,20333,2033,2052,36087,4595.52
k,4831,2028,2057,27727,5365.22
m,20698,2030,2055,20169,6586.802396046695
k,4673,2024,2056,12057,5202.08
k,4709,2025,2050,2676,4318.21
m,4825,2028,2055,22170,5043.61
m,6569,2027,2060,21395,5884.61
m,8671,2027,2051,12731,4454.84
m,29635,2027,2059,24809,13316.930754606201
k,13851,2025,2057,92414,5520.124070930001
k,15279,2024,2063,13669,8353.298877460324
m,26698,2032,2062,1073,10645.784702108593
m,14351,2035,2059,88296,5706.34
m,22272,2025,2055,8843,9665.911860459737
k,8728,2027,2056,65440,5202.08
k,9315,2025,2061,6460,6068.21
m,7522,2024,2043,8016,3468.11
m,21566,2025,2061,48160,12118.239062887067
k,5492,2024,2061,43468,6068.21
m,14034,2026,2061,26353,7443.076223487101
m,22898,2026,2062,45244,12674.753259367293
k,6176,2025,2058,42952,5533.26
k,9008,2024,2062,23666,6257.17
k,7233,2026,2062,65793,6257.17
m,10332,2024,2058,22311,5533.26
k,28509,2028,2053,27448,7762.467700489729
k,12671,2024,2060,34266,6114.191945872642
k,11167,2027,2061,89675,6068.21
k,4973,2031,2055,10218,5043.61
k,25057,2026,2052,71806,7425.627717248374
k,11525,2025,2061,12976,6068.21
k,9230,2025,2046,29083,3810.78
m,13809,2024,2062,11506,8599.568453050637
k,26506,2028,2056,10585,8402.795974701949
m,14368,2024,2060,2510,8238.693198611998
k,22214,2026,2053,38017,6939.0217219702445
m,19585,2027,2063,2535,10708.099231692593
m,7001,2024,2058,64946,5533.26
m,8881,2029,2061,58142,6068.21
k,5521,2029,2062,59684,6257.17
m,7812,2030,2057,84552,5365.22
k,5895,2024,2048,18330,4056.92
m,19682,2032,2049,60893,4185.61
m,14091,2025,2062,4472,8257.61528723642
m,12114,2031,2058,946,5533.26
k,23716,2025,2057,47459,9399.533354503763
k,8314,2027,2059,49515,5706.34
m,16943,2025,2060,21337,9127.917187368279
k,16480,2028,2050,24830,4318.21
m,13922,2032,2058,77468,5533.26
m,9005,2026,2061,10723,6068.21
k,13235,2025,2054,13515,4889.78
m,44009,2028,2059,40589,16753.61310102046
k,28458,2033,2049,8963,4347.574013966817
k,5126,2029,2062,87948,6257.17
k,17559,2030,2062,14510,6575.975319070358
k,22311,2025,2057,58556,8882.401558620359
k,10016,2024,2052,2139,4595.52
k,6538,2031,2063,2402,6451.77
k,4696,2024,2063,18140,6451.77
m,5239,2026,2050,28154,4318.21
k,12148,2037,2059,70067,5706.34
k,5748,2025,2056,13015,5202.08
k,41117,2026,2060,84934,15287.406010230998
k,10264,2024,2051,48709,4454.84
k,16331,2026,2045,10246,3693.12
m,5483,2024,2060,1879,5884.61
m,19960,2025,2062,1858,11696.969777392596
k,5325,2025,2060,30113,5884.61
k,7150,2026,2061,79115,6068.21
k,21586,2041,2062,80023,6257.17
k,23280,2026,2049,105205,5978.902816511319
m,9554,2027,2055,40323,5043.61
k,23176,2027,2058,14167,8558.070694581931
m,10486,2024,2062,37156,6530.166905546304
m,11129,2024,2063,11310,7221.695545300713
k,7481,2027,2062,23470,6257.17
k,5090,2027,2061,42885,6068.21
m,13209,2027,2057,50359,5545.483184034827
m,11184,2024,2061,69190,6683.410480802286
k,21962,2030,2056,29993,6175.578953724674
m,8450,2030,2057,74283,5365.22
m,13547,2026,2048,32639,4056.92
k,17038,2024,2063,21226,9314.97521265587
m,6151,2024,2062,3295,6257.17
m,16647,2029,2057,13190,6208.02015136843
m,17785,2026,2059,60746,8653.800932017328
m,9185,2027,2061,3760,6068.21
k,12271,2027,2061,112034,6068.21
m,5471,2026,2060,18474,5884.61
m,6111,2031,2063,10435,6451.77
k,7656,2024,2050,47199,4318.21
m,28346,2026,2061,64387,14699.842424599496
m,8106,2024,2051,43091,4454.84
k,10620,2027,2060,20831,5884.61
m,7682,2026,2053,6675,4740.46
m,11840,2026,2063,25828,6838.830223708488
k,27020,2025,2055,2940,9603.775434416837
k,22894,2027,2061,74163,9659.277600764266
k,10570,2026,2063,15165,6451.77
m,4669,2027,2062,40846,6257.17
m,33782,2032,2054,1352,8932.43734410654
m,16316,2027,2062,29312,8542.712777527322
k,13008,2029,2047,31274,3932.04
m,12089,2027,2052,28055,4595.52
m,32180,2025,2058,40460,14828.030419859704
k,8317,2024,2054,42362,4889.78
m,16533,2024,2060,19170,9480.116554332702
k,18407,2025,2059,3496,7997.152610111675
k,4516,2031,2060,3866,5884.61
m,24205,2030,2059,40429,9361.7199655953
k,4686,2029,2057,4083,5365.22
k,20643,2031,2061,12412,6981.602912683018
m,10890,2024,2056,53618,5282.228610197756
m,6940,2028,2059,48837,5706.34
m,25328,2032,2057,26106,7889.304054291022
m,5538,2029,2062,41144,6257.17
