plec,wynagrodzenie_brutto,rok_rozpoczecia,rok_zakonczenia,absence,emerytura_urealniona,emerytura_nominalna,stopa_zastapienia
m,14954,2040,2063,False,2507.5810784837863,6451.77,0.1315161362720451
k,13201,2025,2061,False,2549.477743655043,6243.489517646353,0.13786360009853402
m,7913,2031,2058,True,2433.1927394322543,5533.26,0.1379790669681965
m,12475,2028,2057,False,2418.2813943666365,5365.22,0.13938246617093747
m,9471,2031,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,21691,2031,2051,False,2328.5984421532407,4454.84,0.14864435152865602
k,4728,2029,2059,False,2448.100335987148,5706.34,0.13661133112220983
k,18989,2026,2061,True,2477.9037900358453,6068.21,0.13399322196176247
m,13296,2031,2061,True,2477.9037900358453,6068.21,0.13399322196176247
k,14937,2024,2058,False,2914.1365341685005,6626.961710733868,0.16525194798021825
m,13892,2027,2051,True,2328.5984421532407,4454.84,0.14864435152865602
m,8905,2030,2058,True,2433.1927394322543,5533.26,0.1379790669681965
m,14890,2033,2063,False,2507.5810784837863,6451.77,0.1315161362720451
k,6070,2029,2059,True,2448.100335987148,5706.34,0.13661133112220983
m,15721,2031,2059,False,2462.8754312212673,5740.779649265547,0.1374358256895767
k,16547,2029,2055,True,2388.408057312325,5043.61,0.14229690722929264
k,11213,2026,2052,False,2343.5449463207156,4595.52,0.1469966183407991
k,25828,2028,2059,True,2448.100335987148,5706.34,0.13661133112220983
k,17867,2026,2053,False,2776.7570177733246,5581.1425725417475,0.17117391366816073
k,11227,2027,2055,False,2388.408057312325,5043.61,0.14229690722929264
m,8820,2034,2061,False,2477.9037900358453,6068.21,0.13399322196176247
m,9449,2038,2061,False,2477.9037900358453,6068.21,0.13399322196176247
m,23617,2029,2054,True,3533.828050103534,7280.387876735416,0.2141391323337397
k,4963,2032,2055,True,2388.408057312325,5043.61,0.14229690722929264
m,24749,2025,2057,True,5004.994318476991,11104.123647451734,0.28847281912928974
k,7414,2024,2051,True,2328.5984421532407,4454.84,0.14864435152865602
m,8857,2027,2061,True,2477.9037900358453,6068.21,0.13399322196176247
m,10270,2025,2060,True,2463.0055415731995,5884.61,0.1352786395929004
m,6942,2032,2062,False,2492.74542091206,6257.17,0.13273834285868238
m,6616,2024,2051,False,2328.5984421532407,4454.84,0.14864435152865602
k,12920,2024,2061,True,2477.9037900358453,6068.21,0.13399322196176247
m,15715,2029,2052,False,2343.5449463207156,4595.52,0.1469966183407991
k,8671,2040,2048,True,2283.655199226147,4056.92,0.1538653505616367
m,8875,2032,2060,True,2463.0055415731995,5884.61,0.1352786395929004
m,16650,2026,2062,False,3671.606864718753,9216.291456392057,0.1955125488398292
m,7710,2038,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,29274,2033,2057,True,2418.2813943666365,5365.22,0.13938246617093747
k,4988,2034,2052,True,2343.5449463207156,4595.52,0.1469966183407991
k,6557,2036,2053,True,2358.4965625558334,4740.46,0.14539013835258902
m,15069,2036,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,4851,2026,2063,False,2507.5810784837863,6451.77,0.1315161362720451
m,16954,2038,2063,True,2507.5810784837863,6451.77,0.1315161362720451
k,5001,2032,2049,False,2298.629535474335,4185.61,0.15207609018305693
m,22854,2026,2048,True,3576.2304479498516,6353.183630266575,0.24095491812838757
m,5574,2030,2061,False,2477.9037900358453,6068.21,0.13399322196176247
m,12150,2026,2061,False,2631.304511992072,6443.8774487222645,0.14228840156834355
m,23293,2042,2060,False,2463.0055415731995,5884.61,0.1352786395929004
k,14248,2031,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,10756,2025,2059,True,2448.100335987148,5706.34,0.13661133112220983
k,9999,2024,2039,False,2148.3853111729445,3056.07,0.17233053095873016
m,21957,2031,2053,True,2807.6433417136996,5643.222537172997,0.1730779091974261
m,33952,2028,2055,False,5542.128978520053,11703.333964133533,0.3301897306428806
k,19485,2028,2063,True,2507.5810784837863,6451.77,0.1315161362720451
m,4688,2028,2053,True,2358.4965625558334,4740.46,0.14539013835258902
k,10010,2036,2061,True,2477.9037900358453,6068.21,0.13399322196176247
m,21271,2026,2062,True,4486.027646904689,11260.61144306997,0.23888034087752513
k,32492,2041,2053,True,2358.4965625558334,4740.46,0.14539013835258902
k,5425,2030,2063,True,2507.5810784837863,6451.77,0.1315161362720451
m,5475,2026,2046,False,2253.697880494916,3810.78,0.15757905562063723
k,10094,2044,2053,True,2358.4965625558334,4740.46,0.14539013835258902
m,5894,2028,2053,True,2358.4965625558334,4740.46,0.14539013835258902
k,12708,2039,2063,False,2507.5810784837863,6451.77,0.1315161362720451
k,9847,2032,2050,True,2313.6098054841045,4318.21,0.15033116156332627
k,38814,2024,2060,False,6670.6890599415165,15937.602610487598,0.3663823430132193
k,11959,2041,2060,False,2463.0055415731995,5884.61,0.1352786395929004
m,16801,2031,2055,True,2388.408057312325,5043.61,0.14229690722929264
m,5881,2031,2059,False,2448.100335987148,5706.34,0.13661133112220983
m,5670,2024,2059,False,2448.100335987148,5706.34,0.13661133112220983
k,9927,2024,2059,True,2448.100335987148,5706.34,0.13661133112220983
m,4625,2030,2054,True,2373.4507028193652,4889.78,0.1438238270036237
m,7582,2025,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,8705,2026,2054,True,2373.4507028193652,4889.78,0.1438238270036237
m,7788,2046,2055,False,2388.408057312325,5043.61,0.14229690722929264
m,11975,2028,2055,False,2388.408057312325,5043.61,0.14229690722929264
m,22080,2037,2058,False,2433.1927394322543,5533.26,0.1379790669681965
m,8304,2028,2060,True,2463.0055415731995,5884.61,0.1352786395929004
k,12485,2026,2055,True,2388.408057312325,5043.61,0.14229690722929264
m,7060,2033,2053,False,2358.4965625558334,4740.46,0.14539013835258902
m,18071,2043,2063,False,2507.5810784837863,6451.77,0.1315161362720451
m,10285,2026,2059,True,2448.100335987148,5706.34,0.13661133112220983
k,5317,2030,2058,True,2433.1927394322543,5533.26,0.1379790669681965
m,28404,2027,2060,False,5626.668978071984,13443.231034674529,0.3090403622506554
k,4858,2043,2062,False,2492.74542091206,6257.17,0.13273834285868238
m,6142,2036,2063,False,2507.5810784837863,6451.77,0.1315161362720451
k,15383,2031,2057,False,2418.2813943666365,5365.22,0.13938246617093747
k,10830,2025,2063,False,2507.5810784837863,6451.77,0.1315161362720451
m,5434,2026,2056,False,2403.3675427861226,5202.08,0.14082233891966942
k,5348,2029,2063,False,2507.5810784837863,6451.77,0.1315161362720451
m,19991,2033,2059,False,2786.810977242513,6495.8493400417265,0.15551239938602124
m,12825,2024,2062,True,3043.013489708148,7638.426514662066,0.16204004008266734
m,9428,2026,2063,True,2507.5810784837863,6451.77,0.1315161362720451
k,5092,2028,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,8647,2037,2061,False,2477.9037900358453,6068.21,0.13399322196176247
m,18902,2025,2063,False,4489.272649751254,11550.475815920034,0.23545072924383542
m,4869,2029,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,14675,2032,2056,True,2403.3675427861226,5202.08,0.14082233891966942
m,22831,2037,2056,False,2403.3675427861226,5202.08,0.14082233891966942
m,19620,2035,2055,True,2388.408057312325,5043.61,0.14229690722929264
m,31884,2028,2056,True,5178.873965174289,11209.6532041547,0.3034496937162503
k,11129,2034,2061,True,2477.9037900358453,6068.21,0.13399322196176247
k,11523,2036,2061,False,2477.9037900358453,6068.21,0.13399322196176247
k,21914,2037,2058,False,2433.1927394322543,5533.26,0.1379790669681965
m,5428,2032,2061,True,2477.9037900358453,6068.21,0.13399322196176247
m,33977,2028,2059,False,6067.004374086576,14141.73644401107,0.3385570155293618
m,11998,2025,2062,True,2678.8831095210803,6724.403898521237,0.14265014858189445
m,13090,2027,2059,True,2465.770879622022,5747.528724368509,0.13759740038257773
m,9558,2028,2062,False,2492.74542091206,6257.17,0.13273834285868238
m,6047,2028,2056,False,2403.3675427861226,5202.08,0.14082233891966942
k,38119,2032,2059,True,2649.179674652457,6175.040999110285,0.1478321604781132
m,5307,2026,2063,False,2507.5810784837863,6451.77,0.1315161362720451
k,7546,2034,2063,False,2507.5810784837863,6451.77,0.1315161362720451
k,37847,2032,2060,True,2701.3896348065446,6454.15700068838,0.14837169817067206
k,9763,2030,2061,False,2477.9037900358453,6068.21,0.13399322196176247
k,19710,2027,2052,True,2343.5449463207156,4595.52,0.1469966183407991
m,6309,2034,2059,True,2448.100335987148,5706.34,0.13661133112220983
m,6977,2038,2063,False,2507.5810784837863,6451.77,0.1315161362720451
m,17159,2024,2058,True,3807.24325103328,8657.952347880146,0.21589735288340123
k,6307,2025,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,4756,2042,2062,False,2492.74542091206,6257.17,0.13273834285868238
k,15591,2036,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,4827,2033,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,8949,2025,2059,True,2448.100335987148,5706.34,0.13661133112220983
m,6587,2026,2063,False,2507.5810784837863,6451.77,0.1315161362720451
k,24040,2027,2059,True,2448.100335987148,5706.34,0.13661133112220983
m,5291,2024,2060,False,2463.0055415731995,5884.61,0.1352786395929004
k,16199,2034,2050,False,2313.6098054841045,4318.21,0.15033116156332627
k,4699,2024,2056,True,2403.3675427861226,5202.08,0.14082233891966942
m,26987,2035,2061,False,3529.1706465380676,8642.687700444967,0.1908407209691024
k,5447,2024,2060,True,2463.0055415731995,5884.61,0.1352786395929004
m,6228,2026,2063,False,2507.5810784837863,6451.77,0.1315161362720451
k,5350,2044,2061,True,2477.9037900358453,6068.21,0.13399322196176247
k,8391,2026,2063,True,2507.5810784837863,6451.77,0.1315161362720451
k,11091,2030,2059,True,2448.100335987148,5706.34,0.13661133112220983
m,5328,2030,2061,False,2477.9037900358453,6068.21,0.13399322196176247
m,30177,2033,2060,True,4128.788677785634,9864.497148335808,0.22677046643616375
m,11220,2026,2062,False,2492.74542091206,6257.17,0.13273834285868238
k,18512,2024,2052,False,3230.5585155931976,6334.888645036106,0.20263369724989433
m,27021,2032,2063,False,4391.593818636809,11299.157380944327,0.23032772740992905
k,9849,2044,2063,True,2507.5810784837863,6451.77,0.1315161362720451
m,4571,2033,2055,False,2388.408057312325,5043.61,0.14229690722929264
k,7222,2027,2055,True,2388.408057312325,5043.61,0.14229690722929264
m,11101,2027,2060,True,2463.0055415731995,5884.61,0.1352786395929004
k,6242,2024,2063,False,2507.5810784837863,6451.77,0.1315161362720451
k,10503,2031,2041,True,2178.8410814519766,3256.3,0.16778936748308737
k,13155,2028,2059,False,2448.100335987148,5706.34,0.13661133112220983
m,14610,2040,2063,True,2507.5810784837863,6451.77,0.1315161362720451
k,16333,2033,2061,True,2477.9037900358453,6068.21,0.13399322196176247
m,5865,2028,2059,False,2448.100335987148,5706.34,0.13661133112220983
k,11858,2034,2063,False,2507.5810784837863,6451.77,0.1315161362720451
m,4692,2026,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,14212,2030,2053,True,2358.4965625558334,4740.46,0.14539013835258902
k,19882,2024,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,10588,2032,2062,True,2492.74542091206,6257.17,0.13273834285868238
m,4686,2032,2061,False,2477.9037900358453,6068.21,0.13399322196176247
k,24590,2024,2061,True,2833.233243955112,6938.386539637257,0.15320774456752814
m,5427,2028,2047,True,2268.6937823038925,3932.04,0.1557004309832786
k,20700,2026,2063,False,3915.2241378730187,10073.503047518045,0.20534337081672852
m,6862,2028,2063,True,2507.5810784837863,6451.77,0.1315161362720451
k,19303,2030,2062,False,2879.9515335510314,7229.116212997042,0.15335701386506373
k,7274,2025,2052,True,2343.5449463207156,4595.52,0.1469966183407991
m,18810,2038,2050,False,2313.6098054841045,4318.21,0.15033116156332627
k,7703,2026,2062,False,2492.74542091206,6257.17,0.13273834285868238
m,18689,2034,2052,False,2343.5449463207156,4595.52,0.1469966183407991
k,8548,2024,2062,False,2492.74542091206,6257.17,0.13273834285868238
m,9242,2027,2060,False,2463.0055415731995,5884.61,0.1352786395929004
m,14231,2029,2061,True,2494.179009278838,6108.066853425731,0.13487330821582608
m,5650,2024,2061,False,2477.9037900358453,6068.21,0.13399322196176247
k,8278,2028,2051,False,2328.5984421532407,4454.84,0.14864435152865602
k,30135,2030,2049,True,2298.629535474335,4185.61,0.15207609018305693
k,5213,2036,2051,False,2328.5984421532407,4454.84,0.14864435152865602
k,17481,2027,2061,True,2477.9037900358453,6068.21,0.13399322196176247
k,5294,2029,2060,False,2463.0055415731995,5884.61,0.1352786395929004
m,9731,2025,2060,True,2463.0055415731995,5884.61,0.1352786395929004
m,8050,2031,2045,False,2238.716518488004,3693.12,0.159521339227325
k,8221,2037,2061,False,2477.9037900358453,6068.21,0.13399322196176247
m,8216,2028,2053,False,2358.4965625558334,4740.46,0.14539013835258902
k,8384,2031,2057,False,2418.2813943666365,5365.22,0.13938246617093747
m,6288,2033,2060,False,2463.0055415731995,5884.61,0.1352786395929004
m,43102,2033,2049,True,3895.8778313179296,7094.064075087103,0.257749175878147
k,18341,2030,2063,True,2507.5810784837863,6451.77,0.1315161362720451
m,7831,2025,2063,True,2507.5810784837863,6451.77,0.1315161362720451
m,14074,2026,2060,True,2862.4057589148442,6838.856538751023,0.15721538197658808
k,36820,2028,2051,True,2529.386998922632,4838.968443121105,0.16146153987469064
k,4964,2048,2059,False,2448.100335987148,5706.34,0.13661133112220983
k,26628,2024,2060,False,5193.90207659193,12409.264852652906,0.28527098101911236
k,19248,2033,2062,False,2492.74542091206,6257.17,0.13273834285868238
m,5786,2033,2061,False,2477.9037900358453,6068.21,0.13399322196176247
m,14055,2030,2054,True,2373.4507028193652,4889.78,0.1438238270036237
m,12424,2025,2063,False,2950.7313194640533,7591.953842820356,0.15475821924269437
k,22207,2043,2062,False,2492.74542091206,6257.17,0.13273834285868238
k,9986,2028,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,16947,2027,2063,True,2507.5810784837863,6451.77,0.1315161362720451
m,16954,2028,2061,False,3283.1112054464265,8040.105644179938,0.17753499964184194
k,13656,2024,2061,True,2477.9037900358453,6068.21,0.13399322196176247
k,16471,2044,2062,True,2492.74542091206,6257.17,0.13273834285868238
m,29620,2031,2057,False,4418.466782147097,9802.84858665921,0.254667136018439
m,16999,2028,2052,False,2697.2693929311217,5289.147733250479,0.16918364639751832
k,14427,2029,2061,True,2477.9037900358453,6068.21,0.13399322196176247
k,8173,2035,2056,False,2403.3675427861226,5202.08,0.14082233891966942
k,4824,2026,2051,False,2328.5984421532407,4454.84,0.14864435152865602
m,4591,2027,2036,True,2101.785687474429,2776.31,0.1799838317883637
k,13103,2029,2053,True,2358.4965625558334,4740.46,0.14539013835258902
k,8410,2027,2061,True,2477.9037900358453,6068.21,0.13399322196176247
m,18353,2031,2056,False,2668.7959030162474,5776.5986866363555,0.15637478432711954
m,21681,2025,2061,True,4757.788862349648,11651.48625563913,0.25727853585098054
k,7053,2042,2063,False,2507.5810784837863,6451.77,0.1315161362720451
m,19918,2028,2061,False,3857.0844042752115,9445.72515163242,0.20857273344734034
m,8344,2039,2058,True,2433.1927394322543,5533.26,0.1379790669681965
m,4702,2028,2063,False,2507.5810784837863,6451.77,0.1315161362720451
k,19579,2026,2063,True,2507.5810784837863,6451.77,0.1315161362720451
k,6122,2024,2057,False,2418.2813943666365,5365.22,0.13938246617093747
m,14305,2031,2062,False,2492.74542091206,6257.17,0.13273834285868238
k,11531,2034,2063,True,2507.5810784837863,6451.77,0.1315161362720451
m,5067,2032,2058,False,2433.1927394322543,5533.26,0.1379790669681965
k,16132,2032,2054,True,2373.4507028193652,4889.78,0.1438238270036237
m,11144,2025,2058,False,2433.1927394322543,5533.26,0.1379790669681965
m,11092,2048,2057,False,2418.2813943666365,5365.22,0.13938246617093747
k,4805,2030,2051,True,2328.5984421532407,4454.84,0.14864435152865602
m,19901,2027,2062,True,3969.986988881104,9965.270933334321,0.21140124846034114
k,5171,2027,2062,True,2492.74542091206,6257.17,0.13273834285868238
m,10835,2040,2063,False,2507.5810784837863,6451.77,0.1315161362720451
k,8984,2037,2063,True,2507.5810784837863,6451.77,0.1315161362720451
k,10977,2042,2058,False,2433.1927394322543,5533.26,0.1379790669681965
m,18669,2040,2063,False,2507.5810784837863,6451.77,0.1315161362720451
m,15715,2024,2062,False,3898.7805096881125,9786.531844426881,0.20760951346422563
k,4680,2029,2050,True,2313.6098054841045,4318.21,0.15033116156332627
k,26448,2029,2049,True,2298.629535474335,4185.61,0.15207609018305693
k,28514,2027,2055,True,2444.995756434606,5163.106450489827,0.1456682970333379
k,18417,2027,2062,True,2492.74542091206,6257.17,0.13273834285868238
m,7971,2025,2055,True,2388.408057312325,5043.61,0.14229690722929264
k,15293,2032,2045,True,2238.716518488004,3693.12,0.159521339227325
m,16255,2024,2051,False,3313.2852983498633,6338.643714307513,0.2115011054234118
k,5127,2026,2050,False,2313.6098054841045,4318.21,0.15033116156332627
k,15479,2027,2062,True,2492.74542091206,6257.17,0.13273834285868238
m,17427,2024,2049,True,3249.6215106076766,5917.285965877846,0.21499320629150268
k,12627,2024,2062,True,2492.74542091206,6257.17,0.13273834285868238
m,5975,2035,2060,False,2463.0055415731995,5884.61,0.1352786395929004
k,5015,2027,2062,False,2492.74542091206,6257.17,0.13273834285868238
m,15811,2043,2059,False,2448.100335987148,5706.34,0.13661133112220983
m,25652,2024,2061,False,6096.277109573331,14929.348697008465,0.329657598155437
k,7467,2043,2059,True,2448.100335987148,5706.34,0.13661133112220983
m,11440,2029,2051,False,2328.5984421532407,4454.84,0.14864435152865602
k,5385,2028,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,14947,2027,2053,True,2358.4965625558334,4740.46,0.14539013835258902
k,13775,2034,2060,False,2463.0055415731995,5884.61,0.1352786395929004
k,4758,2035,2052,True,2343.5449463207156,4595.52,0.1469966183407991
k,8529,2037,2058,False,2433.1927394322543,5533.26,0.1379790669681965
k,6035,2024,2060,False,2463.0055415731995,5884.61,0.1352786395929004
m,7083,2029,2054,True,2373.4507028193652,4889.78,0.1438238270036237
k,5131,2029,2049,False,2298.629535474335,4185.61,0.15207609018305693
k,5726,2028,2062,False,2492.74542091206,6257.17,0.13273834285868238
m,20984,2044,2060,True,2463.0055415731995,5884.61,0.1352786395929004
k,9659,2028,2063,True,2507.5810784837863,6451.77,0.1315161362720451
k,14475,2024,2058,False,2824.0025662508556,6421.990410582627,0.16014072082838976
m,6183,2026,2058,False,2433.1927394322543,5533.26,0.1379790669681965
k,18991,2029,2057,True,2418.2813943666365,5365.22,0.13938246617093747
k,9561,2024,2056,False,2403.3675427861226,5202.08,0.14082233891966942
m,4658,2034,2063,True,2507.5810784837863,6451.77,0.1315161362720451
m,5803,2040,2063,False,2507.5810784837863,6451.77,0.1315161362720451
k,6217,2025,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,19802,2027,2056,False,3084.6439728669707,6676.700268561381,0.180740885969535
m,9430,2026,2063,False,2507.5810784837863,6451.77,0.1315161362720451
k,14982,2034,2058,False,2433.1927394322543,5533.26,0.1379790669681965
k,8553,2028,2051,True,2328.5984421532407,4454.84,0.14864435152865602
m,10009,2031,2056,True,2403.3675427861226,5202.08,0.14082233891966942
k,6165,2026,2059,False,2448.100335987148,5706.34,0.13661133112220983
m,6495,2024,2057,True,2418.2813943666365,5365.22,0.13938246617093747
m,35740,2024,2062,True,7491.696867367156,18805.298164155163,0.3989318038783313
m,18846,2024,2046,False,3404.6199142102696,5756.87521781981,0.23805177946506906
k,19289,2026,2058,True,2433.1927394322543,5533.26,0.1379790669681965
k,4525,2025,2057,True,2418.2813943666365,5365.22,0.13938246617093747
k,8091,2035,2061,True,2477.9037900358453,6068.21,0.13399322196176247
k,12007,2043,2063,True,2507.5810784837863,6451.77,0.1315161362720451
m,13530,2036,2062,True,2492.74542091206,6257.17,0.13273834285868238
m,18307,2029,2062,False,3424.4031922568415,8595.772654013694,0.1823489880702867
k,12890,2028,2061,False,2477.9037900358453,6068.21,0.13399322196176247
k,11913,2032,2055,True,2388.408057312325,5043.61,0.14229690722929264
m,10057,2027,2051,False,2328.5984421532407,4454.84,0.14864435152865602
k,9138,2039,2053,True,2358.4965625558334,4740.46,0.14539013835258902
k,21239,2032,2059,True,2448.100335987148,5706.34,0.13661133112220983
k,17055,2031,2061,False,2477.9037900358453,6068.21,0.13399322196176247
m,29525,2035,2063,False,4070.952178942445,10474.176633768742,0.2135109034426522
k,23041,2027,2052,True,2343.5449463207156,4595.52,0.1469966183407991
m,6556,2030,2051,True,2328.5984421532407,4454.84,0.14864435152865602
m,10821,2041,2062,False,2492.74542091206,6257.17,0.13273834285868238
m,9080,2029,2059,False,2448.100335987148,5706.34,0.13661133112220983
m,13048,2025,2059,True,2764.5162680779354,6443.882029378825,0.15426828783912772
k,14439,2031,2059,True,2448.100335987148,5706.34,0.13661133112220983
m,6185,2029,2061,True,2477.9037900358453,6068.21,0.13399322196176247
m,16555,2029,2060,False,2971.291726246962,7099.006766351805,0.16319585797748146
m,6403,2024,2063,True,2507.5810784837863,6451.77,0.1315161362720451
m,7902,2032,2061,False,2477.9037900358453,6068.21,0.13399322196176247
k,15744,2029,2057,False,2418.2813943666365,5365.22,0.13938246617093747
m,30216,2026,2060,False,6195.877061063311,14803.182330241698,0.3403036679203479
k,11763,2024,2040,False,2163.6852788799074,3154.78,0.17000466669756245
k,10005,2026,2060,False,2463.0055415731995,5884.61,0.1352786395929004
k,11941,2024,2055,True,2388.408057312325,5043.61,0.14229690722929264
m,26679,2025,2057,True,5326.99814268753,11818.524114558393,0.30703215107448417
k,8271,2026,2063,False,2507.5810784837863,6451.77,0.1315161362720451
m,13009,2033,2063,True,2507.5810784837863,6451.77,0.1315161362720451
k,43441,2044,2059,False,2448.100335987148,5706.34,0.13661133112220983
k,15497,2032,2062,True,2492.74542091206,6257.17,0.13273834285868238
k,6298,2033,2063,False,2507.5810784837863,6451.77,0.1315161362720451
k,34886,2027,2062,True,3299.726984017587,8282.816415737672,0.1757099975272703
k,6548,2033,2061,True,2477.9037900358453,6068.21,0.13399322196176247
k,15086,2024,2047,False,2344.37147693497,4063.2025767735813,0.16089419038870784
m,23757,2025,2063,True,5367.902345642297,13811.107291288541,0.28153258231290623
k,8838,2024,2061,False,2477.9037900358453,6068.21,0.13399322196176247
k,5246,2040,2051,False,2328.5984421532407,4454.84,0.14864435152865602
k,10707,2033,2063,True,2507.5810784837863,6451.77,0.1315161362720451
k,5721,2028,2063,True,2507.5810784837863,6451.77,0.1315161362720451
k,8586,2024,2061,True,2477.9037900358453,6068.21,0.13399322196176247
k,8274,2025,2046,False,2253.697880494916,3810.78,0.15757905562063723
m,11202,2028,2061,True,2477.9037900358453,6068.21,0.13399322196176247
k,32989,2037,2062,False,3323.473210655075,8342.423054940695,0.17697448075390224
m,16031,2029,2063,True,2926.3093525423433,7529.118421513958,0.1534773502980104
k,4635,2027,2055,False,2388.408057312325,5043.61,0.14229690722929264
k,17878,2025,2057,True,2418.2813943666365,5365.22,0.13938246617093747
k,18102,2034,2061,False,2477.9037900358453,6068.21,0.13399322196176247
m,5465,2031,2056,False,2403.3675427861226,5202.08,0.14082233891966942
k,5466,2024,2052,True,2343.5449463207156,4595.52,0.1469966183407991
k,5150,2032,2059,False,2448.100335987148,5706.34,0.13661133112220983
k,9175,2024,2039,True,2148.3853111729445,3056.07,0.17233053095873016
m,27480,2026,2051,True,4559.107767902886,8722.025782162713,0.29102725718674416
m,12209,2025,2055,False,2511.6351005165484,5303.828996277644,0.14963854513797703
m,5959,2043,2058,False,2433.1927394322543,5533.26,0.1379790669681965
k,7465,2025,2051,False,2328.5984421532407,4454.84,0.14864435152865602
k,18309,2035,2063,True,2507.5810784837863,6451.77,0.1315161362720451
k,19399,2026,2063,True,2507.5810784837863,6451.77,0.1315161362720451
k,34774,2039,2058,False,2695.679936223589,6130.175272259326,0.1528639291155398
m,5665,2025,2047,True,2268.6937823038925,3932.04,0.1557004309832786
m,14644,2024,2057,False,3339.1892061892877,7408.354029669517,0.1924608226545677
